id,story_title,story_subtitle,country_code1,country_name,story_narrative,story_summary,story_biography,documenturl1,name,Politicians,Publico,Relacion,Tipo_relacion
11,Diputada de la RD del Congo,Jaynet Désirée Kabila Kyungu,COD,República Democrática del Congo,"Keratsu Holding Limited se registró en Niue el 19 de junio de 2001, unos meses después de que el hermano de Kabila se convirtiera en presidente de la República Democrática del Congo. Jaynet Désirée Kabila Kyungu figuraba como coadministradora junto al empresario congoleño Kalume Nyembwe Feruzi. Kabila es una persona cercana a Feruzi, cuyo padre era un hombre de confianza del padre de Kabila, Laurent Desire Kabila, según la reputada revista Africa Confidential. Feruzi también preside la Fundación Laurent Desire Kabila. La compañía de la República Democrática del Congo Keratsu Holding Ltd ha sido propietarias de acciones en una de las mayores compañías de telefonía móvil del país.",Una sociedad offshore tiene participaciones en una empresa de comunicación inalámbrica en RDC,"Jaynet Désirée Kabila Kyungu es la hermana gemela de Joseph Kabila, el presidente de la República Democrática del Congo. Famosa por su discreción y meticulosidad, fue elegida diputada del Parlamento en noviembre de 2011, asumiendo el cargo en febrero de 2012. Kabila es la presidenta de la Fundación Laurent Desire Kabila, así llamada en honor a su padre, y propietaria de Digital Congo, un conglomerado de televisión, internet y radio. En 2015, Jeune Afrique informó que Kabila se había convertido en ""la persona más influyente en el entorno del presidente"".",https://www.documentcloud.org/documents/2778169-Kyungu-Jaynetdoc1.html,Jaynet Désirée Kabila Kyungu,"Diputada del Parlamento, República Democrática del Congo (2012-presente)",Si,No,No
12,Antiguo jefe de la inteligencia de Perú,César Almeyda,PER,Perú,"En 2004 los empleados de Mossack Fonseca averiguaron, a través de un artículo de prensa, que César Almeyda era un funcionario que trabajaba para el presidente de Perú, Alejandro Toledo. El artículo vinculaba a Almeyda con un caso de corrupción y una sociedad constituida por Mossack Fonseca. Como consecuencia de ello, Mossack Fonseca renunció a representarla. Según las comunicaciones internas de Mossack Fonseca, Trei Investments Corp. se constituyó en Panamá en 1999, pero nunca pagó sus honorarios ni tenía ninguna actividad. El exjefe de la agencia de inteligencia de Perú fue administrador y secretario de la sociedad desde justo después de su creación, que se remonta a cuando trabajaba como abogado. Figuraba, además, como principal persona de contacto. En 2000 la sociedad se vendió, pero Almeyda se mantuvo como administrador. Aunque Mossack Fonseca renunció como representante de la sociedad, ésta se presentó como activo en el Registro Mercantil de Panamá en diciembre de 2015, con César Almeyda como uno de sus administradores.",La vinculación con un caso de corrupción llevó a Mossak Fonseca a renunciar como representante de la sociedad offshore,"César Almeyda es un antiguo abogado y asesor del presidente de Perú, Alejandro Toledo, además de jefe de inteligencia durante tres meses en 2003. Posteriormente, Almeyda se vio envuelto en escándalos, incluido el que resultó de una cinta de audio en la que se decía que estaba discutiendo el soborno de los jueces con un general fugitivo buscado por cargos de corrupción. Finalmente, cumplió 34 meses de prisión por este caso. Fue puesto en libertad en 2006 y condenado después a otros cuatro años en 2007 por cargos relacionados, cumpliendo parte de la pena bajo arresto domiciliario. En 2010 surgieron preguntas sobre si Almeyda tenía cuentas bancarias en paraísos fiscales en el extranjero, que le obligaron a emitir un comunicado rechazando firmemente las acusaciones y asegurando que las investigaciones no hallaron tales cuentas en el extranjero en 2004.",https://www.documentcloud.org/documents/2778181-Almeyda-Cesardoc1.html,César Almeyda,Jefe del Consejo Nacional de Inteligencia peruano (agencia de inteligencia de la nación) en 2003,Si,No,No
13,Hijo del expresidente de Ghana,John Addo Kufuor,GHA,Ghana,"A principios de 2001, poco después de iniciarse el primer mandato presidencial de su padre, Kufuor designó a Mossack Fonseca como gestora de The Excel 2000 Trust. Más tarde ese mismo año, esta sociedad controlaba una cuenta bancaria en Panamá por valor de 75.000 dólares. Su madre y entonces primera dama de Ghana, Theresa Kufuor, figuraba también como beneficiaria. En noviembre de 2010, un empleado del departamento legal de Mossack Fonseca en las Islas Vírgenes Británicas sugirió a sus colegas que ""debido a la aparente prevalencia de la corrupción que rodea al Sr. Kufuor no podemos recomendar tenerlo como cliente ni continuar haciendo negocios con él"". Sin embargo, Mossack Fonseca continuó haciendo negocios con Kufuor. En 2012, Kufuor pidió a Mossack Fonseca que cerrara el fideicomiso. Los archivos también vinculaban a Kufuor con las sociedades de las Islas Vírgenes Británicas Fordiant Ltd y Stamford International Investments Group Limited. Ambas se constituyeron cuando el padre de Kufuor era presidente de Ghana y se inactivaron en 2004 y 2007.",Su sociedad offshore controlaba una cuenta de 75.000 dólares para Kufour y su madre,"John Addo Kufuor es el hijo mayor del expresidente de Ghana, John Agyekum Kufuor, que gobernó el país de 2001 a 2009. Kufour hijo tiene formación como contable y ha trabajado en la industria hotelera. A lo largo de 2005, los medios de comunicación ghaneses publicaron alegaciones sobre contratos muy lucrativos en los sectores público y privado que supuestamente le fueron otorgados por sus contactos paternos. Posteriormente, una comisión oficial no encontró pruebas de delito alguno.",https://www.documentcloud.org/documents/2778185-Kuffuor-Johndoc1.html,John Addo Kufuor,No,No,Hijo,Pariente
14,Padre del primer ministro británico,Ian Cameron,GBR,Reino Unido,"Cameron ayudó a crear y desarrollar Blairmore Holdings Inc. en Panamá en 1982 y estuvo implicado en este fondo de inversión hasta su muerte en 2010. Aunque Cameron no figuró como administrador de Blairmore hasta 1989, un folleto corporativo de 2006 decía que ""jugó un papel decisivo en la conformación de Blairmore Holdings Inc. a principios de 1980"". En julio de 1998, el fondo se valoró en casi 20 millones de dólares. Los textos promocionales indicaban que el fondo ""no estaba sujeto a impuestos sobre sus rendimientos y plusvalías"" y que ""no estaría sujeto al impuesto de sociedades del Reino Unido ni a impuestos sobre sus beneficios"". Blairmore utilizó una gran cantidad de acciones al portador (acciones no registradas que pertenecen a cualquier persona que tenga en su poder los certificados físicos) hasta 2006.","Al dirigirse a sus inversores, la sociedad offshore destacaba que estaba gestionada para eludir impuestos","Fallecido en 2010, Ian Cameron es el padre del primer ministro británico, David Cameron. Nacido con una deformación severa en las piernas, se sometió a múltiples cirugías y logró practicar deportes a nivel aficionado e hizo su fortuna como corredor de bolsa e inversor. Se convirtió en socio sénior de corretaje en Panmure Gordon, como lo habían hecho su padre y su abuelo antes que él.",https://www.documentcloud.org/documents/2780378-Cameron-Iandoc1.html,Ian Cameron,No,No,Padre,Pariente
15,Viuda del exdictador de Guinea,Mamadie Touré,GIN,Guinea,"En noviembre de 2006, a Touré se le concedió un poder como abogada para Matinda Partners and Co. Ltd, una sociedad de las Islas Vírgenes Británicas. Ese mismo año, comenzó una relación con una empresa minera que más tarde le habría supuestamente pagado 5,3 millones de dólares por ayudarla a obtener una concesión muy disputada a cargo de su marido, el entonces presidente Lansana Conté, poco antes de morir a finales de 2008, según la investigación de las autoridades estadounidenses. Los investigadores dijeron que la mayor parte del dinero pagado a Touré se canalizó a través de Matinda. Touré, que está cooperando con las autoridades de Estados Unidos en una investigación en curso, ha admitido recibir sobornos para influir en su marido. Usó un accionista sustituto, Beneficence Foundation, y una empresa suiza como gerente de la fundación, que redujo las conexiones públicas entre Matinda y Touré. La sociedad cesó sus operaciones el 30 de abril de 2010.",La creación de la sociedad offshore coincide en el tiempo con la controvertida adjudicación de un contrato minero por parte de su difunto marido,"Mamadie Touré es la viuda de Lansana Conté, exdictador y presidente de Guinea. Las autoridades de Estados Unidos alegan que Touré recibió 5,3 millones de dólares en sobornos para ayudar a una empresa minera a obtener los derechos del yacimiento de hierro más rico del mundo. En 2014, las autoridades estadounidenses llevaron a cabo una redada en la casa de Touré en Florida y confiscaron propiedades, equipamiento de restauración y hasta una nevera industrial para helados valorados en más de un millón de dólares en total.",https://www.documentcloud.org/documents/2778364-Toure-Mamadiedoc1.html,Mamadie Touré,No,No,Esposa,Pariente
16,Antiguo asesor del ex primer ministro griego,Stavros Papastavrou,GRC,Grecia,"Desde 2005 a 2014 Papastavrou fue miembro del consejo de las fundaciones panameñas Green Shamrock Foundation y Diman Foundation. En 2006, se convirtió en el vicepresidente de la aún existente Aisios Foundation. Spyro Metaxas, un abogado de Ginebra, creó las tres fundaciones panameñas a través de Mossack Fonseca, y fue también el secretario de la Aisios Foundation.",Vinculado a varias fundaciones offshore,"No mucho después de que Antonis Samaras llegara al poder en las elecciones griegas de junio de 2012, Stavros Papastavrou, abogado y trabajador del partido Nueva Democracia durante toda su vida, se encontró al servicio del nuevo primer ministro como subjefe del Gabinete para Asuntos Europeos e Internacionales. Aunque en un principio pareciera no encajar bien en el puesto, Papastavrou terminó por convertirse en el principal negociador de Samaras con la Unión Europea, el Fondo Monetario Internacional y el Banco Central Europeo sobre el rescate griego. Mientras tanto, una investigación sobre evasión de impuestos reveló un depósito bancario no declarado de unos 6,9 millones de dólares en una cuenta bancaria del banco suizo HSBC a nombre de Papastavrou. Él negó que el dinero fuera suyo, pero pagó una multa de 3,6 millones de dólares el 2 de febrero de 2016 para evitar los cargos de evasión de impuestos y lavado de dinero. Prometió demostrar que la multa era injusta y conseguir revocarla.",https://www.documentcloud.org/documents/2782805-Papastavrou-Stavrosdoc1.html,Stavros Papastavrou,"Subjefe de Gabinete para Asuntos Europeos e Internacionales, Oficina del primer ministro griego, Antonis Samaras, 2012-2015; secretario de asuntos internacionales del partido político Nueva Democracia, 2004-2015.",Si,No,No
17,Exembajador de Zambia en Estados Unidos,Attan Shansonga,ZMB,Zambia,"En 1998, Shansonga se convirtió en administrador de Starflight Ventures Limited, Stacey Investment Holdings Ltd y Debden Investments Limited, sociedades cuyas actividades nunca fueron reveladas. En 2005, Mossack Fonseca recibió un requerimiento como representante de Hearnville Estates Ltd., una sociedad radicada en las Islas Vírgenes Británicas que figuraba como uno de los 20 acusados, incluyendo al propio Shansonga, en un caso de corrupción originado por una demanda del gobierno de Zambia en un tribunal inglés. Constituida en 1998, esta sociedad habría sido utilizada para adquirir apartamentos en Lusaka con el dinero robado al Estado zambiano.",Una sociedad offshore acusada de robar dinero al Estado zambiano,"Atan Shansonga, embajador de Zambia en Estados Unidos entre 2000 y 2002, fue detenido en la capital zambiana, Lusaka, en 2002 en mitad de una investigación sobre el desvío de millones de dólares desde Zambia durante la Presidencia de Frederik Chiluba. Shansonga huyó de Zambia en 2004 y, dos años más tarde, fue acusado por el Gobierno zambiano de ""malversación de fondos"" y de utilizar cuentas en el extranjero para blanquear el botín. En 2007, un tribunal civil inglés sostuvo que Shansonga canalizó 1,3 millones de dólares al jefe de inteligencia del presidente Chiluba, quien gastó dinero público en hoteles de cinco estrellas, relojes suizos, productos de Hermès y una visita a Legoland. Tras el fallo, según lo publicado, Zambia recuperó ""importantes sumas de dinero devueltas por él."" Los intentos del Gobierno zambiano para extraditar a Shansonga han fracasado.",https://www.documentcloud.org/documents/2781405-Shansonga-Attandoc1.html,Attan Shansonga,Exembajador zambiano en Estados Unidos (2000-2002),Si,No,No
18,Sobrino del presidente sudafricano,Clive Khulubuse Zuma,ZAF,Sudáfrica,"Zuma fue autorizado para representar a Caprikat Limited, una de las dos sociedades offshore que adquirieron yacimientos petrolíferos en la República Democrática del Congo (RDC) de forma controvertida. A finales del verano de 2010, al salir a la luz las alegaciones contra estas sociedades, Zuma y otras personas, las autoridades de las Islas Vírgenes Británicas ordenaron a Mossack Fonseca que proporcionara información sobre Zuma, la cual no había sido obtenida previamente por el bufete. Ese mismo año, Mossack Fonseca decidió poner fin a su relación con estas sociedades. Zuma y los representantes de las sociedades han rechazado las denuncias de irregularidades y afirmado que los acuerdos petroleros son ""bastante atractivos"" para el Gobierno de la RDC.",Una sociedad offshore acusada de firmar contratos petroleros cuestionables,"Clive Khulubuse Zuma es un sobrino del presidente de Sudáfrica, Jacob Zuma, y un magnate de la minería que ha disfrutado de un estilo de vida plagado de puros y hasta 19 coches de coleccionista. En junio de 2015, un tribunal sudafricano imputó a Zuma como presidente y responsable de la caída de una empresa minera de oro que implicó la pérdida de más de 5.000 puestos de trabajo. Durante sus comparecencias, Zuma negó su responsabilidad en el fracaso de la empresa.",https://www.documentcloud.org/documents/2778386-Zuma-Khulubusedoc1.html,Clive Khulubuse Zuma,No,No,Sobrino,Pariente
19,Hijos del primer ministro de Pakistán,"Mariam Safdar, Hasan y Hussain Nawaz Sharif",PAK,Pakistán,"Mariam, Hasan y Hussain, los tres hijos del anterior y actual primer ministro de Pakistán, Nawaz Sharif, eran propietarios o tenían la potestad de autorizar transacciones de varias sociedades. Su hija Mariam Safdar era la dueña de las sociedades Nielsen Enterprises Limited y Nescoll Limited, registradas en las Islas Vírgenes Británicas en 1994 y 1993, respectivamente. El primer mandato de Sharif como primer ministro terminó en 1993. Las sociedades poseían ""una propiedad en Reino Unido para uso familiar"" de los propietarios de las sociedades. Hussain y Mariam firmaron un documento en junio de 2007 que fue parte de una serie de operaciones en las que el Deutsche Bank de Ginebra prestó hasta 13,8 millones de dólares a Nescoll, Nielsen y otra sociedad, con sus propiedades en Londres como avales. En julio de 2014, las dos sociedades se transfirieron a otro agente. Mossack Fonseca sabía que Mariam Safdar era la hija de Nawaz Sharif, una ""persona políticamente expuesta"", y se comprometió a comprobar sus actividades dos veces al año a partir de julio de 2012. Hasan Nawaz Sharif era administrador único de otra sociedad, Hangon Property Holdings Limited, constituida en febrero de 2007 en las Islas Vírgenes Británicas. En octubre de 2007, Mossack Fonseca renunció como agente de Hangon porque Hasan Nawaz Sharif era una ""persona políticamente expuesta"".",Sociedades offshore que poseían propiedades en Reino Unido,"La familia del primer ministro de Pakistán, Nawaz Sharif, incluidos tres de sus cuatro hijos (Mariam, Hasan y Hussain) lleva mucho tiempo arrinconada por la polémica sobre su fortuna, generada por una red de empresas que incluye fábricas de acero, azúcar y papel y holdings de propiedades en el extranjero. En distintas ocasiones, dependiendo del partido político en el poder, los Sharif - una de las familias más ricas de Pakistán - han sido acusados de corrupción, posesión de activos ilegales, evasión de impuestos y lavado de dinero. Mariam, Hussain y su padre han sido detenidos por estos cargos, exiliados a Arabia Saudí y también absueltos. Cuando las alegaciones surgieron por primera vez en 2000, un miembro de la familia dijo que eran ""una completa equivocación"", y declaró: ""Esta es una familia muy religiosa"". Hasan, quien se trasladó a Londres hace más de 16 años, y Hussain han estado gestionando las empresas familiares desde el extranjero. Según lo publicado, Mariam se está preparando para asumir el liderazgo del partido político de su padre.",https://www.documentcloud.org/documents/2781439-Sharif-familydoc1.html,Mariam Safdar,No,No,Hija,Pariente
20,Hijo del expresidente egipcio,Alaa Mubarak,EGY,Egipto,"Alaa Mubarak era dueño de la sociedad de las Islas Vírgenes Británicas Pan World Investments Inc., gestionada por Credit Suisse. En 2011, año en que su padre renunció a la Presidencia de Egipto y fue detenido junto con Alaa y otro hijo, las autoridades de las Islas Vírgenes Británicas, motivadas por una ley de la Unión Europea, ordenaron a Mossack Fonseca congelar los activos de Pan World. En 2013, Mossack Fonseca fue multado con 37.500 dólares por no realizar correctamente la debida diligencia a Alaa Mubarak, ""un cliente de alto riesgo"". A nivel interno, Mossack Fonseca admitió que sus procedimientos resultaron ""gravemente débiles"", ya que Mubarak no había sido identificado con suficiente antelación. Credit Suisse, sin embargo, comunicó a Mossack Fonseca que las actividades de Pan World -""una inversión con el fondo de capital de riesgo HIG"" y una cuenta de efectivo con el banco- no eran contrarias a la congelación de los activos de Mubarak en Suiza. En 2014, una segunda agencia de las Islas Vírgenes Británicas comenzó a investigar a Mossack Fonseca y Pan World. Los empleados de la compañía admitieron a nivel interno que podrían encontrarse ""nuevas infracciones"". Considerando que tenían ""muy poco control"" sobre la sociedad de Mubarak, renunciaron como agentes en abril de 2015.",Una sociedad offshore motivó investigaciones de las autoridades financieras,"Alaa Mubarak es un rico hombre de negocios egipcio rico e hijo mayor del derrocado expresidente egipcio Hosni Mubarak. Alaa Mubarak, su hermano Gamal y su padre fueron detenidos en abril de 2011, dos meses después de que Hosni Mubarak renunciara a la Presidencia ante el levantamiento popular. Fueron condenados en mayo de 2015 a tres años de cárcel por malversación de millones de dólares de fondos estatales destinados a la renovación de palacios. Un tribunal penal de El Cairo liberó a Alaa y a su hermano en octubre de 2015, tras computar el periodo de detención. Los hermanos todavía se enfrentan a juicio por tráfico de información privilegiada. Su padre permanece bajo arresto en un hospital militar.",https://www.documentcloud.org/documents/2779795-Mubarak-Alaadoc1.html,Alaa Mubarak,No,No,Hijo,Pariente
21,Ex primer ministro de Qatar,Hamad bin Jassim bin Jaber Al Thani,QAT,Qatar,"En 2002, Hamad bin Jassim bin Jaber Al Thani adquirió una sociedad en Islas Vírgenes Británicas y tres más en Bahamas. A través de estas sociedades, Al Thani poseía acciones y amarres del puerto de Palma de Mallorca (España) y gestionaba su super yate Al Mirqab de 300 millones de dólares. Al Thani se hizo cargo de la gestión de estas sociedades en 2004 y las disolvió unos años más tarde. En 2011, cuando Qatar comenzó a invertir en empresas de Luxemburgo, Al Thani adquirió cuatro sociedades panameñas para poseer cuentas bancarias en el Gran Ducado, de las que dos estaban compartidas con el entonces emir de Qatar, Hamad bin Khalifa Al Thani, según los documentos emitidos desde julio de 2013.",Utilizó una sociedad offshore para gestionar un yate de 300 millones de dólares,"Durante seis años, Hamad bin Jassim bin Jaber Al Thani ostentó tres puestos de alto nivel: primer ministro de Qatar, ministro de Exteriores y jefe de la Autoridad de Inversiones de Qatar, uno de los fondos soberanos más ricos del mundo. Su nombramiento como primer ministro en 2007 consolidó su posición como hombre referente para cuestiones que iban desde las guerras en Siria y Afganistán hasta las fusiones corporativas y otros acuerdos comerciales. Considerado por la revista Time como una de las 100 personas más influyentes del mundo en 2012, este jeque multimillonario abandonó sus cargos políticos tras la llegada del siguiente emir en 2013, pero permaneció fiel a su estilo atrevido y su reputación de negociador agresivo.",https://www.documentcloud.org/documents/2778398-Al-Thani-Hamaddoc1.html,Hamad bin Jassim bin Jaber Al Thani,Primer ministro de Qatar (2007-2013),Si,No,No
22,Íntimo del presidente de la Autoridad Palestina,Mohammad Mustafa,PSE,Palestina,"Mustafa fue administrador de la Arab Palestinian Investment (Holding) Company Ltd. (APIC Holding) desde marzo de 2006. Constituida en las Islas Vírgenes Británicas en 1994, APIC Holding es la sociedad matriz de la también llamada Arab Palestinian Investment Company (APIC), creada por hombres de negocios saudíes y palestinos el mismo año para canalizar “fondos e inversiones del mundo árabe a Palestina”. Un año antes de incorporarse a APIC Holding, Mustafa se convirtió en director general del Fondo de Inversiones de Palestina, uno de los numerosos accionistas de APIC Holding. En julio de 2013, los administradores de APIC Holding cambiaron su estatus legal a una sociedad pública limitada y, en marzo de 2014, APIC empezó a cotizar en la Bolsa Palestina.",Una sociedad offshore envió fondos de países árabes a Palestina,"Mohammad Mustafa, director general del Fondo de Inversiones de Palestina, fue un hombre de confianza del presidente de la Autoridad Palestina, Mahmoud Abbas, desde que Hamas tomara el poder en la Franja de Gaza en 2007. Ex alto funcionario del Banco Mundial, Mustafa entró en el Gobierno palestino en 2013 como vice primer ministro de Asuntos Económicos. Un año después, obtuvo dos carteras -vice primer ministro y ministro de Economía Nacional- hasta que renunció en marzo de 2015. En el momento de su renuncia, Mustafa estaba a cargo de la reconstrucción de Gaza después de los cincuenta días de guerra del verano de 2014. La revista Foreign Policy lo llamó “el hombre más importante en la economía palestina”.",https://www.documentcloud.org/documents/2778416-Mustafa-Mohammaddoc1.html,Mohammad Mustafa,Vice primer ministro palestino y Ministro de Economía Nacional (2014-2015),Si,No,No
23,Ex primer ministro de Ucrania encarcelado,Pavlo Lazarenko,UKR,Ucrania,"Lazarenko y sus sociedades offshore han sido blanco de investigaciones policiales desde 1998, cuando la policía de las Islas Vírgenes Británicas emitió tres órdenes de registro sobre Mossak Fonseca. Dos buscaban información sobre Metalsrussia Corp Ltd y Southeast Asia Metal Limited. En estas órdenes se mencionaba a Lazarenko, Yulia Tymoshenko (quien luego se convertiría en presidenta de Ucrania) y su esposo. La tercera orden de registro buscaba información relativa a “una investigación sobre delitos penales que incluyen la apropiación indebida de propiedades públicas o estatales y falsificación respecto a la sociedad Bainfield Company Ltd”, así como información sobre Bassington Ltd. Lazarenko era accionista en ambas desde mediados de 1990. Lazarenko fue condenado por lavado de dinero en Suiza en junio de 2000. También fue declarado culpable por blanquear dinero en Estados Unidos, siendo condenado a nueve años de prisión, posteriormente reducidos a 97 meses. Las autoridades estadounidenses aún siguen buscando 250 millones de dólares de sus cuentas en el extranjero.",Sociedades offshore fueron objeto de múltiples investigaciones de corrupción,"Considerado una vez como uno de los diez políticos más corruptos del mundo por Transparencia Internacional, Pavlo Lazarenko pasó ocho años bajo arresto domiciliario y en prisión en Estados Unidos tras su condena en 2004 por lavado de dinero y conspiración. Los fiscales dijeron que robó al menos 200 millones de dólares cuando controlaba la mayor parte de la economía ucraniana, particularmente en contratos lucrativos de gas natural, y blanqueó 114 millones de dólares a través de bancos estadounidenses. Un año después de su salida de prisión en 2012, las autoridades estadounidenses incautaron sus bienes, incluyendo entre otros una litografía de Picasso y una mansión en California que una vez fue habitada por el actor Eddie Murphy, para satisfacer el pago de las multas pendientes. Suiza confiscó 6,6 millones de dólares que Lazarenko había acumulado allí y en el año 2000 lo condenó in absentia por blanqueo de dinero.",https://www.documentcloud.org/documents/2778424-Lazarenko-Pavlodoc1.html,Pavlo Lazarenko,"Primer ministro, Ucrania, (1996-1997); ministro de Energía [vice primer ministro con responsabilidad especial para Asuntos Energéticos] (1995-1996).",Si,No,No
24,Exmiembro de la Cámara de los Lores,Michael Ashcroft,GBR,Reino Unido,"Belize Corporate Services (BCS), filial de la sociedad BCB Holdings de Ashcroft, comenzó a utilizar a Mossack Fonseca para proveer sociedades pantalla a sus clientes en 2006 cuando Ashcroft estaba en la Cámara de los Lores británica. BCS también es propietaria del Belize Bank International y del Belize Bank Limited. En 2006, Belize Bank se acercó a Mossack Fonseca para “llevar a cabo algunos negocios juntos”. De acuerdo a un correo electrónico enviado en noviembre de 2013, Belize Bank International creó una nueva sociedad cuyos propietarios fueron los fundadores de la sociedad panameña, Jurgen Mossack y Ramón Fonseca, asociados con Christopher Zollinger. La nueva sociedad se llamó M.F. & Co. (Belize) y cooperó con BCS en la creación de sociedades y actuando como agentes registrados en Belice.",Una sociedad offshore representó a Mossack y Fonseca en Belice,"Michael Ashcroft, uno de los hombres más ricos de Reino Unido, sabe lo que es el verdadero éxito. Es un emprendedor que creó la empresa de seguridad ADT y la vendió posteriormente por miles de millones de dólares. Es un inversor que recuperó una empresa de limpieza decadente; un autor de libros sobre heroísmo militar y de un libro sensacionalista sobre el primer ministro David Cameron, así como un encuestador que revolucionó los sondeos electorales en Reino Unido. Sin embargo, en 2010 Ashcroft desencadenó una tormenta de críticas al revelar que quedó exento de algunos impuestos británicos al poseer la residencia permanente en Belice. Y en 2015, se convirtió en el mayor accionista de dos bancos offshore con clientes estadounidenses sospechosos de evasión fiscal.",https://www.documentcloud.org/documents/2782931-Ashcroft-Michaeldoc1.html,Michael Ashcroft,"Miembro de la Cámara de los Lores de Reino Unido, 2000-2015; vice presidente, Partido Conservador, 2005-2010.",Si,No,No
25,Ministro de Petróleo de Angola,José Maria Botelho de Vasconcelos,AGO,Angola,"El 6 de marzo de 2002, siendo Jose Maria Botelho de Vasconcelos ministro de Petróleo por primera vez, fue nombrado uno de los dos individuos con poder notarial sobre Medea Investments Limited, una sociedad autovalorada en un millón de dólares. La sociedad se registró el 13 de septiembre de 2001 en Niue, trasladada a Samoa en 2006 y quedó inactiva el 16 de febrero de 2009. Tanto en Niue como en Samoa, la sociedad se mantenía mediante acciones al “portador”, que pertenecen a los individuos con certificados físicos en su poder, lo que permite esconder su posesión más fácilmente. Medea Investments Limited (Samoa) fue una de las dos sociedades con acciones en la compañía Blue Nile Consulting LLC de Nueva York, en octubre de 2007.",El uso de sociedades offshore se remonta a la primera vez que fue ministro de Petróleo,"José Maria Botelho de Vasconcelos es ministro de Petróleo de Angola desde 2008. Ingeniero de formación, Botelho de Vasconcelos trabajó durante años con la empresa estatal de petróleo de Angola Sonangol. Botelho de Vasconcelos fue ministro de Petróleo por primera vez entre 1999 y 2002, antes de convertirse en ministro de Energía y Aguas. Repitió en el cargo de ministro de Petróleo en 2008 y fue presidente de la Organización de los Países Exportadores de Petróleo (OPEC) en 2009.",https://www.documentcloud.org/documents/2780533-Botelho-Josedoc1.html,José Maria Botelho de Vasconcelos,"Ministro de Petróleo, Angola (1999-2002)-(2008-actualidad); ministro de Energía y Aguas (2002-2008).",Si,No,No
26,Encabezó un banco público de Panamá,Riccardo Francolini,PAN,Panamá,"En enero de 2015, Mossack Fonseca renunció como representante de dos sociedades offshore propiedad de Franclini porque el bufete de abogados panameño lo consideró una persona políticamente expuesta. Figuraba como el único accionista de Jamefield Investment, constituida en julio de 2014 en las Islas Vírgenes Británicas. También fue presidente y copropietario, junto a su esposa Iraida García, de Gladden Corporation, constituida en Bahamas en 1998.",Poseyó sociedades offshore durante los años que ayudó a gestionar firmas controladas por el Estado,"Riccardo Francolini fue funcionario o director de tres empresas estatales, incluyendo el banco estatal de ahorros Caja de Ahorros y pertenece al círculo íntimo del expresidente de Panamá, Ricardo Martinelli. De acuerdo a informes periodísticos, se sospecha que ha recibido al menos 500.000 dólares como parte de un sistema de sobornos, que implican a Martinelli y otros socios, relacionados con un contrato para un proyecto de irrigación que fracasó. No se presentaron cargos contra Francolini. Él y Martinelli eran también socios en el canal privado de televisión panameño NEXtv.",https://www.documentcloud.org/documents/2774086-Francolini-Riccardodoc1.html,Riccardo Francolini,"Presidente del banco estatal Caja de Ahorros (2009-2014), vicepresidente de la autoridad estatal de aeropuertos Aeropuerto Internacional Tocumen S.A (2009-2014).",Si,No,No
27,Presidente de Argentina,Mauricio Macri,ARG,Argentina,"Tanto Macri, como su padre Francisco y su hermano Mariano eran administradores de Fleg Trading Ltd, constituida en Bahamas en 1998 y disuelta en enero de 2009. Siendo alcalde de Buenos Aires, Macri no dio a conocer su vinculación con Fleg Trading en sus declaraciones patrimoniales de 2007 y 2008. Sí declaró una cuenta bancaria de Merrill Lynch en Estados Unidos con 2,9 millones de dólares en 2007 y 1,9 millones en la misma cuenta en 2008. También declaró 158.000 dólares en activos en el extranjero en 2008, pero no especificó su origen ni ubicación.",Sociedad offshore no declarada,"El presidente argentino Mauricio Macri parecía dirigido hacia una carrera como empresario, ascendiendo bajo la tutela de su padre, el magnate de origen italiano Francisco Macri. Sin embargo, unos policías federales lo secuestraron en 1991 pidiendo un rescate, lo que supuso un punto de inflexión que le llevó a la política. Durante su tercer mandato como presidente del equipo de fútbol Boca Juniors, Macri fundó el partido de centro-derecha Compromiso por el Cambio y salió elegido por Buenos Aires en el Congreso de 2005 a 2007; después fue elegido alcalde en 2007, y presidente por un estrecho margen en 2015, tras prometer liberalizar la economía y eliminar la corrupción.",https://www.documentcloud.org/documents/2771691-Macri-Mauriciodoc1.html,Mauricio Macri,Presidente de Argentina (desde diciembre de 2015),Si,No,No
